Theme,Subtopic ID,Subtopic Name (EN),Expected Generator Key,Actual Generator Key,Status,Coverage %
MECHANICS,speed_velocity,Speed & Velocity,speed_velocity,speed,MISMATCH,"33%"
MECHANICS,acceleration,Acceleration,acceleration,speed,WRONG_KEY,"33%"
MECHANICS,newton_first,Newton's 1st Law,newton_first,newton,CORRECT,"100%"
MECHANICS,newton_second,Newton's 2nd Law,newton_second,newton,CORRECT,"100%"
MECHANICS,newton_third,Newton's 3rd Law,newton_third,newton,CORRECT,"100%"
WORK_POWER,work,Work,work,❌ NONE,MISSING,"0%"
WORK_POWER,power,Power,power,❌ NONE,MISSING,"0%"
WORK_POWER,kinetic_energy_calc,Kinetic Energy,kinetic_energy_calc,❌ NONE,MISSING,"0%"
WORK_POWER,potential_energy_calc,Potential Energy,potential_energy_calc,❌ NONE,MISSING,"0%"
WORK_POWER,mechanical_advantage,Mechanical Advantage,mechanical_advantage,❌ NONE,MISSING,"0%"
OPTICS,lenses_convex,Convex Lenses,lenses_convex,❌ NONE,MISSING,"0%"
OPTICS,lenses_concave,Concave Lenses,lenses_concave,❌ NONE,MISSING,"0%"
OPTICS,image_formation,Image Formation,image_formation,❌ NONE,MISSING,"0%"
OPTICS,eye_optics,The Eye,eye_optics,❌ NONE,MISSING,"0%"
OPTICS,optical_instruments,Optical Instruments,optical_instruments,❌ NONE,MISSING,"0%"
THERMAL,thermal_expansion,Thermal Expansion,thermal_expansion,expansion,CORRECT,"100%"
THERMAL,specific_heat,Specific Heat,specific_heat,specific_heat,CORRECT,"100%"
THERMAL,phase_changes,Phase Changes,phase_changes,states,MISMATCH,"100%"
THERMAL,heat_engines,Heat Engines,heat_engines,❌ NONE,MISSING,"0%"
WAVES,wave_equation,Wave Equation,wave_equation,❌ NONE,MISSING,"0%"
WAVES,electromagnetic_spectrum,EM Spectrum,electromagnetic_spectrum,❌ NONE,MISSING,"0%"
WAVES,infrared_uv,Infrared & UV,infrared_uv,❌ NONE,MISSING,"0%"
WAVES,wave_interference,Wave Interference,wave_interference,❌ NONE,MISSING,"0%"
EARTH_SPACE,gravity_universal,Universal Gravitation,gravity_universal,❌ NONE,MISSING,"0%"
EARTH_SPACE,solar_system,Solar System,solar_system,❌ NONE,MISSING,"0%"
EARTH_SPACE,orbits,Orbits,orbits,❌ NONE,MISSING,"0%"
EARTH_SPACE,seasons_tides,Seasons & Tides,seasons_tides,❌ NONE,MISSING,"0%"
EARTH_SPACE,space_exploration,Space Exploration,space_exploration,❌ NONE,MISSING,"0%"
ORPHANED,magnetic_basics,Magnetic Basics,magnetic_basics,✓ EXISTS,NOT_IN_CURRICULUM,"0%"
ORPHANED,earth_magnetic,Earth's Magnetic Field,earth_magnetic,✓ EXISTS,NOT_IN_CURRICULUM,"0%"
ORPHANED,electromagnets,Electromagnets,electromagnets,✓ EXISTS,NOT_IN_CURRICULUM,"0%"
ORPHANED,em_induction,EM Induction,em_induction,✓ EXISTS,NOT_IN_CURRICULUM,"0%"
ORPHANED,bernoulli,Bernoulli's Principle,bernoulli,✓ EXISTS,NO_MATCHING_SUBTOPIC,"0%"
